已添加为,顾客搜索词,关键词,目标竞价 (AUD),展示量,点击量,点击率,总成本 (AUD),CPC (AUD),购买量,销售额 (AUD),ACOS,ROAS,购买率
,amplified pillow speaker,pillow speaker,0.6,2,1,0.5000,0.54,0.54,0,0,0,0,0
,avantree slumber 2 bluetooth pillow speaker,pillow speaker,0.6,1,1,1.0000,0.35,0.35,0,0,0,0,0
关键词: 词组匹配,bluetooth pillow speaker,"keyword-group=""Keywords related to your product category""",0.6,14,3,0.2143,1.97,0.66,0,0,0,0,0
关键词: 精准匹配,bluetooth pillow speaker for sleeping,bluetooth pillow speaker for sleeping,0.6,1,1,1.0000,0.58,0.58,1,29.99,0.0193,51.70689655172414,1.0000
,bluetooth speaker,"keyword-group=""Keywords related to your product category""",0.6,10,1,0.1000,0.75,0.75,0,0,0,0,0
,bone conduction pillow speaker,"keyword-group=""Keywords related to your product category""",0.6,3,1,0.3333,0.65,0.65,0,0,0,0,0
,dreameave pillow speaker,pillow speaker,0.6,1,1,1.0000,0.16,0.16,0,0,0,0,0
,dreamwave pillow speaker,pillow speaker,0.6,147,13,0.0884,8.03,0.62,5,155.95,0.0515,19.42092154420921,0.3846
,dreamwave™ pillow speaker,pillow speaker,0.6,3,2,0.6667,1.24,0.62,0,0,0,0,0
,hyundai pillow speaker,pillow speaker,0.6,1,1,1.0000,0.37,0.37,1,35.99,0.0103,97.27027027027027,1.0000
,invisible pillow speaker,pillow speaker,0.6,3,1,0.3333,0.63,0.63,0,0,0,0,0
,ipad speaker,"keyword-group=""Keywords related to your product category""",0.6,1,1,1.0000,0.77,0.77,0,0,0,0,0
,kinglucky pillow speaker,pillow speaker,0.6,5,2,0.4000,1.05,0.52,0,0,0,0,0
,lenovo bluetooth pillow speakers,pillow speaker,0.6,2,1,0.5000,0.67,0.67,0,0,0,0,0
,luvryon bluetooth pillow speaker,pillow speaker,0.6,1,1,1.0000,0.02,0.02,1,29.99,0.0007,1499.5,1.0000
关键词: 词组匹配,pillow speaker,pillow speaker,0.6,1783,39,0.0219,20.91,0.54,13,413.87,0.0505,19.792922046867524,0.3333
关键词: 词组匹配,pillow speaker,"keyword-group=""Keywords related to your product category""",0.6,519,41,0.0790,24.21,0.59,9,275.91,0.0877,11.396530359355637,0.2195
,pillow speaker australia,"keyword-group=""Keywords related to your product category""",0.6,1,1,1.0000,0.65,0.65,0,0,0,0,0
,pillow speaker for sleeping,"keyword-group=""Keywords related to your product category""",0.6,1,1,1.0000,0.6,0.6,0,0,0,0,0
,pillow speaker for tv,pillow speaker,0.6,1,1,1.0000,0.44,0.44,0,0,0,0,0
,pillow speaker nz,pillow speaker,0.6,4,1,0.2500,0.78,0.78,0,0,0,0,0
,pillow speaker reviews,pillow speaker,0.6,2,1,0.5000,0.53,0.53,0,0,0,0,0
,pillow speaker sd,pillow speaker,0.6,4,1,0.2500,0.6,0.6,0,0,0,0,0
,pillow speaker ultra thin,"keyword-group=""Keywords related to your product category""",0.6,3,1,0.3333,0.06,0.06,0,0,0,0,0
,pillow speakers,pillow speaker,0.6,8,1,0.1250,0.66,0.66,0,0,0,0,0
,pillow speakers,"keyword-group=""Keywords related to your product category""",0.6,1,1,1.0000,0.5,0.5,0,0,0,0,0
关键词: 精准匹配,pillow speakers for sleeping,pillow speaker,0.6,3,1,0.3333,0.46,0.46,1,35.99,0.0128,78.23913043478261,1.0000
,radox tech pillow speaker,pillow speaker,0.6,4,2,0.5000,1.33,0.67,0,0,0,0,0
关键词: 词组匹配,sleep speaker,sleep speaker,0.6,197,9,0.0457,5.57,0.62,3,89.97,0.0619,16.152603231597844,0.3333
关键词: 词组匹配,sleep speaker,"keyword-group=""Keywords related to your product category""",0.6,91,8,0.0879,4.72,0.59,1,29.99,0.1574,6.353813559322033,0.1250
关键词: 精准匹配,sleep speaker under pillow,sleep speaker under pillow,0.7,103,13,0.1262,8.73,0.67,7,263.92,0.0331,30.231386025200457,0.5385
,sleep speakers,sleep speaker,0.6,2,1,0.5000,0.55,0.55,0,0,0,0,0
,somnifye pillow speaker,pillow speaker,0.6,3,1,0.3333,0.63,0.63,0,0,0,0,0
,somnifye pillow speaker for sleeping,pillow speaker,0.6,2,1,0.5000,0.56,0.56,1,35.99,0.0156,64.26785714285714,1.0000
,speaker under pillow,"keyword-group=""Keywords related to your product category""",0.6,1,1,1.0000,0.6,0.6,1,29.99,0.0200,49.983333333333334,1.0000
,spikmek pillow speaker,pillow speaker,0.6,1,1,1.0000,0.5,0.5,0,0,0,0,0
,ultra thin bluetooth pillow speaker,pillow speaker,0.6,1,1,1.0000,0.45,0.45,0,0,0,0,0
,under pillow bluetooth speaker,"keyword-group=""Keywords related to your product category""",0.6,3,1,0.3333,0.7,0.7,1,29.99,0.0233,42.84285714285714,1.0000
,under pillow sleep speaker,sleep speaker,0.6,1,1,1.0000,0.55,0.55,1,29.99,0.0183,54.52727272727272,1.0000
关键词: 词组匹配,under pillow speaker,pillow speaker,0.6,39,5,0.1282,2.81,0.56,0,0,0,0,0
关键词: 词组匹配,under pillow speaker,"keyword-group=""Keywords related to your product category""",0.6,79,15,0.1899,9.01,0.6,6,179.94,0.0501,19.971143174250834,0.4000
,under pillow speaker amazon australia,pillow speaker,0.6,1,1,1.0000,0.65,0.65,0,0,0,0,0
,under pillow speaker australia,"keyword-group=""Keywords related to your product category""",0.6,1,1,1.0000,0.49,0.49,0,0,0,0,0
关键词: 精准匹配,under pillow speaker bluetooth,under pillow speaker bluetooth,0.65,1872,42,0.0224,27.75,0.66,6,269.91,0.1028,9.726486486486486,0.1429
,under pillow speaker for sleeping,pillow speaker,0.6,3,1,0.3333,0.62,0.62,0,0,0,0,0
,under pillow speaker for sleeping,"keyword-group=""Keywords related to your product category""",0.6,5,1,0.2000,0.21,0.21,1,29.99,0.0070,142.8095238095238,1.0000
,under pillow speaker wireless,pillow speaker,0.6,11,1,0.0909,0.75,0.75,0,0,0,0,0
,under pillow speakers for sleeping,pillow speaker,0.6,2,1,0.5000,0.55,0.55,0,0,0,0,0
,🔥🔥s1 ultra-thin bluetooth pillow speaker with bluetooth 6.0 - bone conduction technology,pillow speaker,0.6,1,1,1.0000,0.29,0.29,0,0,0,0,0